"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.447608119605787,0.154041196261398,5.37486959430567,0.131985283698872,0.0221723204461375,0.159314989674691,145.5391105742,0.0963093421231287,0
"3",0.427251558194162,0.17400370777962,2.92965513785716,0.113670586301636,0.0246366083505574,0.0409810230651602,143.609372547238,0.0966874484826444,0
"4",0.422035455571211,0.178513387015645,4.32447485889105,0.126999100967196,0.0269707266794571,0.047295591413949,136.640545587401,0.130281080567422,0
"5",0.464901543262748,0.137337314526363,8.37288475520186,0.130820114216196,0.0250227420981135,0.373780573920439,128.963327449173,0.08108929672721,0
"10",0.434425353267645,0.166141987527144,4.98520856960704,0.124887420552764,0.025975316085453,0.182879652197229,133.982863895563,0.126764841028139,0
"11",0.319941222057379,0.292624223071093,1.13757167897401,0.0738497790728595,0.0208058178531537,0.322398349761037,143.442176492071,0.136241857336908,0
"14",0.446349570595405,0.15769229726766,4.45492976571496,0.114480446735451,0.0264811339037183,0.0438399323829246,139.278353276013,0.0706464591787639,0
"15",0.448250732131954,0.14747312354915,3.60183380071604,0.115542862037106,0.0246044014849463,0.166111875963868,138.270456436186,0.0960612169957133,0
"17",0.43408115070439,0.168761620532055,4.26708357053709,0.118012987342483,0.0218792080962133,0.286689882624146,141.390318665695,0.12893903530067,0
"21",0.435063899180489,0.171593717502872,2.81689698974375,0.10373373652528,0.0305627327393581,0.243492054619303,122.136240738132,0.109450959135912,0
"26",0.4584107591398,0.143310082296009,4.23719481382168,0.115350673889908,0.0238295142937697,0.0396024920753459,146.076816950768,0.105952745668241,0
"29",0.438583040507951,0.16724357902478,4.3943657713369,0.127189511752325,0.0269441056736109,0.0444752145190195,137.812897711979,0.0836675060181808,0
"30",0.432709086921545,0.175907856523445,3.63377973546988,0.111992203011132,0.0246011009035375,0.159188347193421,138.327945095087,0.111855232712315,0
"31",0.442013271621829,0.160046066992721,5.96666134800182,0.140993943745665,0.027190469892831,0.169479942927119,131.108027954954,0.0595866952301908,0
"32",0.435679937463292,0.175302166500705,2.86247464381111,0.090664318561162,0.0256050726385601,0.157355113217463,135.592301914231,0.0932972708258318,0
"34",0.448527796892524,0.150010997545148,5.06284050772841,0.121953463475227,0.0243606534480202,0.349064759096866,133.125081434431,0.110918516248147,0
"36",0.455693585313174,0.159612245499328,3.97369187313443,0.0987943030754302,0.0274686701062686,0.225204553089582,128.325632140038,0.11218166837888,0
"37",0.45067278112436,0.156853562204871,5.47209710587713,0.119139145739657,0.0266186522439927,0.334469934430713,126.328380219417,0.0799846889007935,0
"38",0.42452731921151,0.182285298955993,2.96072237219974,0.112651376417663,0.0245019888952869,0.184918857953899,137.842103639814,0.125853685719947,0
"39",0.450787634946699,0.155128035727577,6.12192123852531,0.13301623753478,0.0233334368266047,0.0385105094100924,147.048984345099,0.0936529782374767,0
"40",0.442020616112627,0.163445670263693,4.30196258873191,0.117905383115278,0.0302498012206054,0.165145832167462,124.18871986178,0.0766415673537589,0
"45",0.453143461842252,0.156624855305075,3.45945361084943,0.0947258349787828,0.0273098249366228,0.23182760149481,128.602463873767,0.104400121475631,0
"49",0.442960244443186,0.155129608267515,5.10062694943592,0.131454649838316,0.0228386207615698,0.174941939221659,142.758630520916,0.110421338307865,0
"54",0.449382508227562,0.152394903138164,4.2258511618113,0.12045489749708,0.0318565316498574,0.193208575748375,119.639790689347,0.0858666879602437,0
"56",0.468490942314557,0.141145634157451,4.36321249870452,0.0985298392086627,0.0298853294767365,0.049021558696124,130.226103420806,0.119321006937039,0
"57",0.427858151903569,0.178113236309151,4.14883539782889,0.134208484208016,0.02511951596986,0.099112877561821,139.151866282107,0.114275810438192,0
"58",0.446935646665911,0.158731882646346,6.55756668395334,0.140140234049835,0.0267989641722671,0.0442474740290107,136.930590610348,0.0686036778252207,0
"59",0.44377322925305,0.155185674079794,5.16181063443547,0.122053998044824,0.0216932076336073,0.373454434002606,138.74550690618,0.140441500605509,0
"63",0.430778750008457,0.170678590217137,4.48410140883106,0.128697291352458,0.0291236400306268,0.234262251278725,123.971283280041,0.0854949422861482,0
