"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.873449466640231,0.0603995701347323,3.33772573194702,0.0676674022743166,0.0227245289727053,-0.343525305536744,159.714976275378,0.225631025243362,0
"2",0.867314333691827,0.0607881941153871,3.33198821653655,0.0786342604697485,0.0238878741885614,-0.353211300793589,170.322454515897,0.168770988694971,10
"3",0.867314333691827,0.0607881941153871,3.59229979595347,0.0682217972930718,0.0238878741885614,-0.353211300793589,157.690828128428,0.116499812652996,10
"4",0.875294588205344,0.0532287554377799,3.73015204061785,0.0670431362737435,0.0260641206885412,-0.556795278164453,161.517584759071,0.15209418080797,0
"5",0.863094821964435,0.0709159566922078,3.33733125932387,0.068855851256177,0.0225628936351733,-0.341918042547403,163.641363001193,0.174569082285404,0
"6",0.866449546824847,0.060741557041874,3.66591564770512,0.0570190681401087,0.0236387105210234,-0.333249011977863,160.451377508546,0.066741931407999,0
"7",0.864253263891603,0.0593581730374607,3.32442609251027,0.0885707982856405,0.0237057063051118,-0.335082797244937,160.582893773646,0.1431858623019,0
"8",0.867429160186568,0.0504750183255145,3.25442384365992,0.113858450581119,0.0215553225676193,-0.262562971199583,163.004523017048,0.136079982980214,0
"9",0.871447360043694,0.058880932883462,3.33372085979442,0.0625850800812748,0.0230164896200896,-0.330356332456303,159.980512992416,0.139198726911908,0
"10",0.880979001287248,0.0481944132976183,3.32330366229717,0.0510866836595713,0.0279960222771743,-0.488232769925235,155.067743931908,0.158674195253957,0
"11",0.869336803000635,0.0594374524664024,3.35338980738529,0.0634779243394941,0.0245720943128602,-0.345006034018293,157.557589964168,0.131727174574339,0
"12",0.867314333691827,0.0607881941153871,3.33198821653655,0.0786342604697485,0.0238878741885614,-0.353211300793589,167.56175573254,0.168770988694971,10
"13",0.868341561022101,0.0459580356858786,3.52098084412348,0.0931903251569972,0.0232939356794733,-0.30882607654991,159.602721872896,0.0664470382535935,0
"14",0.855371145900901,0.0598583523004775,3.18074697723411,0.101857096670319,0.021087530514335,-0.288012410977082,166.172107742005,0.0756197919828631,0
"15",0.867314333691827,0.0607881941153871,3.33198821653655,0.0786342604697485,0.0238878741885614,-0.353211300793589,160.558341500404,0.168770988694971,10
"16",0.865975882002998,0.0644634833056913,3.62890663736607,0.0668132527828989,0.024892888160387,-0.390838584291046,158.520273010659,0.116146766070005,0
