"","V1","V2","V3","V4","V5","limit"
"1",0.466367710397288,0.0186079793592514,0.159823008991514,-87.8285950437682,0.0725585506698909,0.349939046735728
"2",0.471612765657268,0.0166897801389629,0.217924990703331,-90.8434636279367,0.174811168058082,0.395027789858493
"4",0.462332879003645,0.0183459141000555,0.174511999656494,-88.2238961117715,0.146348210915564,0.357205929933282
"6",0.469173240522643,0.0145600093254158,0.199407060145941,-96.4180187071395,0.149437914106644,0.396156721876013
"7",0.465457953982044,0.0161578957499863,0.282401852874327,-90.6008038694687,0.101390606452041,0.408241984661981
"9",0.469151334534446,0.0162331279918103,0.0889015735627409,-94.6132075565098,0.124526855066871,0.286554701637346
"11",0.462239611749385,0.0187109520234834,0.150181497855252,-88.1228789961099,0.14591574734478,0.33765068241591
"13",0.468449796621749,0.0153297905597024,0.104291835808398,-96.4005336081691,0.119797180087115,0.3214604331603
"14",0.466212305070816,0.0166167366182113,0.100279818325021,-93.6364321157039,0.0856539903129472,0.300508608197792
"15",0.46165193195012,0.0151629993896381,0.372997177622861,-91.2871433073385,0.179433768504275,0.421000151456034
"17",0.466937757362804,0.0168941742949021,0.0865379371750057,-93.0849979414196,0.0781969577283037,0.271715004817444
"18",0.466702986950761,0.0157280903222719,0.416035685284594,-88.584045592371,0.10081516355416,0.428898320479632
"19",0.467552177246999,0.0194532240998294,0.101471170076072,-87.4736133687583,0.0898074483867172,0.275840343380832
"20",0.461916043503356,0.0166540044912414,0.265044467203717,-89.8278471730783,0.164642615102077,0.39908128725681
"23",0.4657218013566,0.0158769468550225,0.054665438460036,-96.1778442053221,0.102859057649304,0.175283321353745
"25",0.465026805096108,0.0171629397326112,0.157326489332405,-90.9765444973021,0.105657280830982,0.355935578275755
"26",0.46058401022683,0.0163144172001138,0.164011904566687,-93.1022708296615,0.196070070634195,0.361113077045389
"27",0.463263422182223,0.0143647158346487,0.321021678455042,-94.4526378692142,0.159242189326401,0.418516550557289
"30",0.471737255649687,0.0202337728997808,0.0530271748181938,-87.1464358709398,0.15604872891094,0.0901636008367865
"31",0.464603066358294,0.0188436948599673,0.0427026417909931,-89.8836892472986,0.105556028688424,0.0233260382953187
"32",0.464722247347243,0.0177974206492427,0.0991960921189217,-90.8595164725787,0.108600552126538,0.285305697067156
"33",0.466395247961423,0.0191273098723448,0.181963090471503,-86.4054970113971,0.0776850581292275,0.361278821202667
"34",0.466412024575604,0.0155535869590941,0.0477057006728333,-96.9872782996937,0.10512057182017,0.140379983546359
"35",0.464387244646463,0.0160762926264163,0.286401616931696,-90.7468589332589,0.123060186512395,0.408255254894987
"36",0.467028319212257,0.0199183760682559,0.145643949633912,-85.8111159859313,0.0914440343438898,0.330267567266691
"37",0.466567185269319,0.0207419470702849,0.0475511636850893,-86.2486115038301,0.0857822177734638,0.0303644625000134
"38",0.465827955659776,0.014941627832037,0.125974719889681,-96.8566050766793,0.104082572200378,0.347219810746879
"39",0.468571400673476,0.0191357276925419,0.136745090804185,-87.2981125796626,0.103425632158662,0.328634181867254
"40",0.464288396345217,0.0141945068142676,0.178346335496107,-97.8981247162161,0.143846157499616,0.384698833852763
"41",0.466313062641732,0.0112773348766973,0.13682562918669,-107.435658114474,0.154109219297731,0.383891845624633
"43",0.465501500552564,0.0203047867476684,0.14496055853419,-84.8876048085698,0.0810521227905018,0.32543038774101
"44",0.458269608810541,0.0118236476717701,0.145763329124889,-105.465614894288,0.307789854169338,0.377154229909997
"46",0.469176993147101,0.0211423580188543,0.163194738197255,-82.9286813736427,0.133078087220636,0.339624053803559
"47",0.464956102649478,0.0159067532408342,0.0839920557538437,-95.3747861035838,0.11700390351411,0.275572081767167
"48",0.462208333844301,0.0182568019848724,0.0569499517167783,-90.7948641307775,0.153003312213181,0.141632083390805
"50",0.465276698517224,0.0173763608044055,0.0653885124458486,-92.4824847349369,0.10090482409077,0.199536430778365
"52",0.466155223522775,0.01332909619263,0.108369094751113,-101.576768193828,0.119485630773297,0.343158014556119
"53",0.464191785618767,0.0160335515631914,0.16139945643123,-93.5592595822962,0.130165305920787,0.364850982881782
"54",0.468635058746217,0.0172272549623248,0.209487518986984,-89.785835809243,0.109030027701099,0.38639982561333
"55",0.465589114540184,0.020887467705557,0.15889310877755,-83.5002780786748,0.0844289889511893,0.334133018890376
"57",0.462381744078828,0.0128694295068647,0.182390578397944,-101.687893272494,0.201713118413085,0.391822016597807
"58",0.469539752784046,0.017783705973038,0.0390146245559274,-92.652552053507,0.115347764892026,0.0137182198215771
"60",0.464027919931997,0.0158929313132203,0.0494021888246999,-96.1933271456263,0.137637381286275,0.142322916746506
"61",0.464873200931033,0.0184492474669349,0.113675731138634,-89.4503868037894,0.101660182459491,0.302576048476962
"62",0.464585874250426,0.0153194717290783,0.0724825943295377,-97.2519680876087,0.129923407001446,0.253232074475692
"63",0.470258960642269,0.01698071929368,0.161049142428927,-91.3861770159036,0.142084213519884,0.364820837609892
"65",0.461654877577974,0.014418920265665,0.175400034912485,-97.2705547470368,0.197107151429091,0.379448963121576
"66",0.476194517789953,0.0165747473930183,0.0942382783588216,-93.764968697841,0.238853033183996,0.300313255083643
"67",0.468016483172979,0.0193409804986079,0.0636690112755505,-88.4675217657864,0.091956703269347,0.164242636035588
"68",0.470518748710339,0.0180759003960301,0.163987638637438,-88.8682990024274,0.136016838382607,0.360291535572681
"69",0.465927815858104,0.0178054368432265,0.191491301016929,-88.9261133797714,0.0841962811700991,0.372944809587483
"70",0.46592691394256,0.0156413517302359,0.16018545787035,-94.5406929529759,0.0966753974257971,0.36828164739848
"72",0.469261826661221,0.0161528281593678,0.0590157263662814,-95.2875337485079,0.126302384242881,0.195558033555038
"73",0.466072711094005,0.0179640632198477,0.139937125283983,-89.6709556764075,0.0812007684354814,0.33770032111249
"76",0.463186410105836,0.0159828550555538,0.211015899727359,-92.5763401943033,0.149093546031201,0.387443989386809
"77",0.465001439814465,0.0124584551671737,0.240751094065532,-101.431827737801,0.143190058476319,0.413253159228116
"78",0.46911197594761,0.0220340755147726,0.0562419469626644,-83.7010313830757,0.133620807815551,0.0773389896852453
"79",0.469433972805177,0.0178269139957391,0.0639585884262394,-91.531041005936,0.113954184017471,0.190708090411789
"80",0.461164169473293,0.013008579224457,0.105727402232596,-102.664544010305,0.231104769249471,0.338125307742455
"82",0.462170992317308,0.016653180148398,0.13110330898553,-92.6748500438932,0.165074814383065,0.335147652652891
"83",0.470460418564102,0.0167805892881562,0.0357015313030305,-94.5110044273345,0.141727478094588,0.000436061745218763
"84",0.464585385045648,0.014991820587807,0.0853975280351064,-97.8541250098904,0.132429679087691,0.289032053084517
"85",0.466022731261068,0.0186660289998087,0.113721275164794,-88.8298694226744,0.0791769255843316,0.301884323801605
"86",0.466407330819084,0.0163863477426807,0.226913936297623,-91.3134104398784,0.0814306004029589,0.394193398038912
"87",0.460642251122806,0.0150446176259007,0.116965180301752,-97.0033920733295,0.212499998920544,0.332017496413003
"88",0.465692980061285,0.0139162924067888,0.0709639046211111,-100.701985956651,0.121722943797532,0.269589165296718
"89",0.464772469065366,0.0156031841303171,0.1040255181535,-95.9226282657231,0.122823733698244,0.314778655938735
"90",0.46855955702172,0.015822201571354,0.137735040252726,-94.4752506928832,0.118370973794181,0.353685364206861
"91",0.466207851057088,0.0198685647847202,0.176397244545549,-85.0975243691541,0.0829418843420903,0.353572504422805
